,vault_name,vault_apy,vault_total_assets
2021-04-19 18:16:07.770006, WETH,6.97%  ,14.12M
2021-04-19 18:16:07.834631, MEME20-ETH,582.15%  ,138.36K
2021-04-19 18:16:07.919914, GPUNKS20-ETH,718.01%  ,68.43K
2021-04-19 18:16:07.969280, ETH-MVI,34.46%  ,874.25K
2021-04-19 18:16:08.006898, KXUSD-DAI,265.00%  ,285.16K
2021-04-19 18:16:08.039644, FARM,44.70%,84.90M
2021-04-19 18:16:08.099678, USDC,19.90%  ,49.84M
2021-04-19 18:16:08.121323, USDT,16.73%  ,6.38M
2021-04-19 18:16:08.148388, DAI,16.36%  ,13.11M
2021-04-19 18:16:08.172949, CRV:HUSD,14.91%  ,1.79M
2021-04-19 18:16:08.196291, YCRV,23.66%  ,2.24M
2021-04-19 18:16:08.221149, 3CRV,15.71%  ,7.84M
2021-04-19 18:16:08.298785, CRV:COMPOUND,20.54%  ,4.12M
2021-04-19 18:16:08.331766, CRV:BUSD,19.28%  ,5.17M
2021-04-19 18:16:08.356034, CRV:USDN,36.21%  ,11.64M
2021-04-19 18:16:08.416217, CRV:EURS,32.44%  ,473.41K
2021-04-19 18:16:08.444539, CRV:GUSD,31.07%  ,236.07K
2021-04-19 18:16:08.482758, CRV:UST,26.96%  ,367.40K
2021-04-19 18:16:08.516273, CRV:USDP,47.04%  ,352.54K
2021-04-19 18:16:08.560302, SUSHI,18.19%  ,2.45M
2021-04-19 18:16:08.584774, ETH-DAI,67.80%  ,8.42M
2021-04-19 18:16:08.610038, ETH-USDC,41.20%  ,5.22M
2021-04-19 18:16:08.632462, ETH-USDT,50.58%  ,5.26M
2021-04-19 18:16:08.660311, ETH-WBTC,28.63%  ,10.14M
2021-04-19 18:16:08.740992, CRV:STETH,11.55%  ,37.22M
2021-04-19 18:16:08.799826, CRV:HBTC,6.52%  ,12.88M
2021-04-19 18:16:08.832453, CRV:OBTC,13.79%  ,11.64M
2021-04-19 18:16:08.852457, CRV:TBTC,2.66%  ,687.48K
2021-04-19 18:16:08.872872, CRV:RENWBTC,2.09%  ,104.07M
2021-04-19 18:16:08.919302, WBTC,1.65%  ,1.89M
2021-04-19 18:16:08.962035, MUSE-ETH,281.45%  ,719.75K
2021-04-19 18:16:08.982346, DUDES20-ETH,532.03%  ,154.61K
2021-04-19 18:16:09.002452, MASK20-ETH,314.91%  ,216.91K
2021-04-19 18:16:09.022540, ROPE20-ETH,496.87%  ,180.49K
2021-04-19 18:16:09.050452, MCAT20-ETH,426.63%  ,167.28K
2021-04-19 18:16:09.091944, 1INCH-ETH,75.77%  ,1.22M
2021-04-19 18:16:09.129254, 1INCH-USDC,120.33%  ,901.60K
2021-04-19 18:16:09.186058, 1INCH-WBTC,87.94%  ,1.46M
2021-04-19 18:16:09.297862, ETH-DAI,67.80%  ,233.06K
2021-04-19 18:16:09.337643, ETH-USDC,41.20%  ,407.59K
2021-04-19 18:16:09.383399, ETH-USDT,50.58%  ,339.86K
2021-04-19 18:16:09.420278, ETH-WBTC,28.63%  ,9.64M
2021-04-19 18:16:09.460209, ETH-SUSHI,39.85%  ,918.44K
2021-04-19 18:16:09.480937, ETH-DAI,50.62%  ,14.19M
2021-04-19 18:16:09.502190, ETH-USDC,25.63%  ,10.14M
2021-04-19 18:16:09.523723, ETH-USDT,31.92%  ,28.35M
2021-04-19 18:16:09.553285, ETH-WBTC,13.89%  ,14.08M
2021-04-19 18:16:09.669672, ETH-UST,82.92%  ,456.88K
2021-04-19 18:16:09.842625, ETH-DPI,27.23%  ,2.69M
2021-04-19 18:16:09.888149, WBTC-KBTC,83.22%  ,1.95M
2021-04-19 18:16:09.952534, WBTC-KLONX,171.65%  ,325.90K
2021-04-19 18:16:10.008037, FARM/ETH,50.99%,14.33M
2021-04-19 18:16:10.031975, FARM/GRAIN,113.57%,167.93K
2021-04-19 18:16:10.089204, DAI-BAC,17.35%  ,1.35M
2021-04-19 18:16:10.113028, DAI-BASv2,45.39%  ,239.47K
2021-04-19 18:16:10.133635, DAI-BSG,179.50%  ,13.39K
2021-04-19 18:16:10.155189, DAI-BSGS,97.58%  ,12.81K
2021-04-19 18:16:10.193380, MAAPL-UST,113.08%  ,266.24K
2021-04-19 18:16:10.214297, MAMZN-UST,90.97%  ,364.90K
2021-04-19 18:16:10.234612, MGOOGL-UST,91.33%  ,377.18K
2021-04-19 18:16:10.255179, MTSLA-UST,73.85%  ,491.75K
2021-04-19 18:16:10.275227, MNFLX-UST,128.36%  ,409.67K
2021-04-19 18:16:10.295960, MTWTR-UST,120.71%  ,425.89K
2021-04-19 18:16:10.348755, CRV:LINK,21.72%  ,2.23M
2021-04-19 18:16:10.431709, TUSD,Inactive ,26.78K
2021-04-19 18:16:10.464380, CRV:AAVE,Inactive ,12.41K
2021-04-19 18:16:10.496720, RENBTC,Inactive ,143.61K
2021-04-19 18:16:10.523303, MIC-USDT,Inactive ,312.98K
2021-04-19 18:16:10.560250, MIS-USDT,Inactive ,86.66K
2021-04-19 18:16:10.600750, WBTC-TBTC,Inactive ,1.12K
2021-04-19 18:16:10.632910, ETH-DAI,Inactive ,14.95K
2021-04-19 18:16:10.663579, ETH-USDC,Inactive ,25.89K
2021-04-19 18:16:10.687148, ETH-USDT,Inactive ,8.47K
2021-04-19 18:16:10.707716, ETH-WBTC,Inactive ,33.50K
2021-04-19 18:16:10.728984, BAC,Inactive ,719.46
2021-04-19 18:16:10.750497, ESD,Inactive ,58.02K
2021-04-19 18:16:10.772119, DSD,Inactive ,5.23K
2021-04-19 18:16:10.796761, FARM/USDC,Inactive,89.75K
2021-04-19 18:19:42.722577, WETH,6.97%  ,14.12M
2021-04-19 18:19:42.746642, MEME20-ETH,582.15%  ,138.36K
2021-04-19 18:19:42.778383, GPUNKS20-ETH,718.01%  ,68.43K
2021-04-19 18:19:42.811101, ETH-MVI,34.46%  ,874.25K
2021-04-19 18:19:42.837188, KXUSD-DAI,265.00%  ,285.16K
2021-04-19 18:19:42.859303, FARM,44.70%,84.90M
2021-04-19 18:19:42.898047, USDC,19.90%  ,49.84M
2021-04-19 18:19:42.917510, USDT,16.73%  ,6.38M
2021-04-19 18:19:42.936995, DAI,16.36%  ,13.11M
2021-04-19 18:19:42.956966, CRV:HUSD,14.91%  ,1.79M
2021-04-19 18:19:42.982633, YCRV,23.66%  ,2.24M
2021-04-19 18:19:43.006922, 3CRV,15.71%  ,7.84M
2021-04-19 18:19:43.027613, CRV:COMPOUND,20.54%  ,4.12M
2021-04-19 18:19:43.049572, CRV:BUSD,19.28%  ,5.17M
2021-04-19 18:19:43.068954, CRV:USDN,36.21%  ,11.64M
2021-04-19 18:19:43.088448, CRV:EURS,32.44%  ,473.41K
2021-04-19 18:19:43.107746, CRV:GUSD,31.07%  ,236.07K
2021-04-19 18:19:43.127745, CRV:UST,26.96%  ,367.40K
2021-04-19 18:19:43.146857, CRV:USDP,47.04%  ,352.54K
2021-04-19 18:19:43.184689, SUSHI,18.19%  ,2.45M
2021-04-19 18:19:43.207834, ETH-DAI,67.80%  ,8.42M
2021-04-19 18:19:43.231538, ETH-USDC,41.20%  ,5.22M
2021-04-19 18:19:43.255634, ETH-USDT,50.58%  ,5.26M
2021-04-19 18:19:43.276010, ETH-WBTC,28.63%  ,10.14M
2021-04-19 18:19:43.315663, CRV:STETH,11.55%  ,37.22M
2021-04-19 18:19:43.354445, CRV:HBTC,6.52%  ,12.88M
2021-04-19 18:19:43.375319, CRV:OBTC,13.79%  ,11.64M
2021-04-19 18:19:43.396772, CRV:TBTC,2.66%  ,687.48K
2021-04-19 18:19:43.417705, CRV:RENWBTC,2.09%  ,104.07M
2021-04-19 18:19:43.442169, WBTC,1.65%  ,1.89M
2021-04-19 18:19:43.493326, MUSE-ETH,281.45%  ,719.75K
2021-04-19 18:19:43.515905, DUDES20-ETH,532.03%  ,154.61K
2021-04-19 18:19:43.537655, MASK20-ETH,314.91%  ,216.91K
2021-04-19 18:19:43.559023, ROPE20-ETH,496.87%  ,180.49K
2021-04-19 18:19:43.581453, MCAT20-ETH,426.63%  ,167.28K
2021-04-19 18:19:43.620050, 1INCH-ETH,75.77%  ,1.22M
2021-04-19 18:19:43.641040, 1INCH-USDC,120.33%  ,901.60K
2021-04-19 18:19:43.662220, 1INCH-WBTC,87.94%  ,1.46M
2021-04-19 18:19:43.711730, ETH-DAI,67.80%  ,233.06K
2021-04-19 18:19:43.733186, ETH-USDC,41.20%  ,407.59K
2021-04-19 18:19:43.755152, ETH-USDT,50.58%  ,339.86K
2021-04-19 18:19:43.779230, ETH-WBTC,28.63%  ,9.64M
2021-04-19 18:19:43.816085, ETH-SUSHI,39.85%  ,918.44K
2021-04-19 18:19:43.835731, ETH-DAI,50.62%  ,14.19M
2021-04-19 18:19:43.855372, ETH-USDC,25.63%  ,10.14M
2021-04-19 18:19:43.876761, ETH-USDT,31.92%  ,28.35M
2021-04-19 18:19:43.899397, ETH-WBTC,13.89%  ,14.08M
2021-04-19 18:19:43.919966, ETH-UST,82.92%  ,456.88K
2021-04-19 18:19:43.960756, ETH-DPI,27.23%  ,2.69M
2021-04-19 18:19:43.981979, WBTC-KBTC,83.22%  ,1.95M
2021-04-19 18:19:44.004800, WBTC-KLONX,171.65%  ,325.90K
2021-04-19 18:19:44.024277, FARM/ETH,50.99%,14.33M
2021-04-19 18:19:44.045981, FARM/GRAIN,113.57%,167.93K
2021-04-19 18:19:44.083275, DAI-BAC,17.35%  ,1.35M
2021-04-19 18:19:44.102212, DAI-BASv2,45.39%  ,239.47K
2021-04-19 18:19:44.121892, DAI-BSG,179.50%  ,13.39K
2021-04-19 18:19:44.144673, DAI-BSGS,97.58%  ,12.81K
2021-04-19 18:19:44.182870, MAAPL-UST,113.08%  ,266.24K
2021-04-19 18:19:44.202425, MAMZN-UST,90.97%  ,364.90K
2021-04-19 18:19:44.222112, MGOOGL-UST,91.33%  ,377.18K
2021-04-19 18:19:44.241723, MTSLA-UST,73.85%  ,491.75K
2021-04-19 18:19:44.261280, MNFLX-UST,128.36%  ,409.67K
2021-04-19 18:19:44.281512, MTWTR-UST,120.71%  ,425.89K
2021-04-19 18:19:44.317901, CRV:LINK,21.72%  ,2.23M
2021-04-19 18:19:44.358339, TUSD,Inactive ,26.78K
2021-04-19 18:19:44.380541, CRV:AAVE,Inactive ,12.41K
2021-04-19 18:19:44.399936, RENBTC,Inactive ,143.61K
2021-04-19 18:19:44.419360, MIC-USDT,Inactive ,312.98K
2021-04-19 18:19:44.438896, MIS-USDT,Inactive ,86.66K
2021-04-19 18:19:44.458915, WBTC-TBTC,Inactive ,1.12K
2021-04-19 18:19:44.478508, ETH-DAI,Inactive ,14.95K
2021-04-19 18:19:44.498603, ETH-USDC,Inactive ,25.89K
2021-04-19 18:19:44.518480, ETH-USDT,Inactive ,8.47K
2021-04-19 18:19:44.538944, ETH-WBTC,Inactive ,33.50K
2021-04-19 18:19:44.559048, BAC,Inactive ,719.46
2021-04-19 18:19:44.579261, ESD,Inactive ,58.02K
2021-04-19 18:19:44.602153, DSD,Inactive ,5.23K
2021-04-19 18:19:44.636124, FARM/USDC,Inactive,89.75K
2021-04-20 16:44:48.337004, WETH,6.50%  ,14.33M
2021-04-20 16:44:48.372800, MEME20-ETH,508.58%  ,141.44K
2021-04-20 16:44:48.403655, GPUNKS20-ETH,661.27%  ,66.08K
2021-04-20 16:44:48.429811, ETH-MVI,33.76%  ,883.82K
2021-04-20 16:44:48.452038, KXUSD-DAI,242.90%  ,285.36K
2021-04-20 16:44:48.471530, FARM,41.97%,80.04M
2021-04-20 16:44:48.514270, USDC,15.31%  ,49.30M
2021-04-20 16:44:48.533507, USDT,15.23%  ,6.35M
2021-04-20 16:44:48.552934, DAI,16.64%  ,13.06M
2021-04-20 16:44:48.572045, CRV:HUSD,12.31%  ,1.79M
2021-04-20 16:44:48.593018, YCRV,20.33%  ,2.24M
2021-04-20 16:44:48.615919, 3CRV,11.28%  ,7.84M
2021-04-20 16:44:48.637290, CRV:COMPOUND,17.84%  ,4.12M
2021-04-20 16:44:48.660395, CRV:BUSD,19.70%  ,5.17M
2021-04-20 16:44:48.680428, CRV:USDN,32.78%  ,11.62M
2021-04-20 16:44:48.700267, CRV:EURS,32.09%  ,465.52K
2021-04-20 16:44:48.720106, CRV:GUSD,28.26%  ,238.10K
2021-04-20 16:44:48.739636, CRV:UST,25.98%  ,363.57K
2021-04-20 16:44:48.759258, CRV:USDP,42.46%  ,357.15K
2021-04-20 16:44:48.797883, SUSHI,19.24%  ,2.43M
2021-04-20 16:44:48.820941, ETH-DAI,50.74%  ,8.60M
2021-04-20 16:44:48.843448, ETH-USDC,42.08%  ,5.24M
2021-04-20 16:44:48.869068, ETH-USDT,50.79%  ,5.27M
2021-04-20 16:44:48.890344, ETH-WBTC,26.13%  ,10.18M
2021-04-20 16:44:48.930133, CRV:STETH,11.68%  ,37.60M
2021-04-20 16:44:48.970203, CRV:HBTC,6.45%  ,12.83M
2021-04-20 16:44:48.999427, CRV:OBTC,13.69%  ,11.61M
2021-04-20 16:44:49.021414, CRV:TBTC,2.68%  ,685.62K
2021-04-20 16:44:49.043267, CRV:RENWBTC,2.19%  ,103.75M
2021-04-20 16:44:49.068005, WBTC,1.58%  ,1.89M
2021-04-20 16:44:49.120001, MUSE-ETH,272.17%  ,676.85K
2021-04-20 16:44:49.141412, DUDES20-ETH,474.17%  ,156.27K
2021-04-20 16:44:49.163514, MASK20-ETH,291.97%  ,219.25K
2021-04-20 16:44:49.187984, ROPE20-ETH,441.83%  ,183.55K
2021-04-20 16:44:49.216150, MCAT20-ETH,396.06%  ,166.41K
2021-04-20 16:44:49.256659, 1INCH-ETH,74.32%  ,1.22M
2021-04-20 16:44:49.282998, 1INCH-USDC,108.25%  ,899.01K
2021-04-20 16:44:49.307179, 1INCH-WBTC,86.24%  ,1.45M
2021-04-20 16:44:49.369692, ETH-DAI,50.74%  ,233.91K
2021-04-20 16:44:49.391213, ETH-USDC,42.08%  ,409.63K
2021-04-20 16:44:49.411128, ETH-USDT,50.79%  ,340.80K
2021-04-20 16:44:49.430912, ETH-WBTC,26.13%  ,9.67M
2021-04-20 16:44:49.468223, ETH-SUSHI,39.11%  ,919.46K
2021-04-20 16:44:49.487772, ETH-DAI,32.13%  ,14.24M
2021-04-20 16:44:49.509737, ETH-USDC,24.99%  ,10.20M
2021-04-20 16:44:49.531048, ETH-USDT,30.77%  ,28.44M
2021-04-20 16:44:49.552198, ETH-WBTC,9.96%  ,14.13M
2021-04-20 16:44:49.574865, ETH-UST,72.07%  ,457.14K
2021-04-20 16:44:49.614423, ETH-DPI,19.97%  ,3.03M
2021-04-20 16:44:49.634032, WBTC-KBTC,76.19%  ,1.96M
2021-04-20 16:44:49.653630, WBTC-KLONX,165.66%  ,317.08K
2021-04-20 16:44:49.673198, FARM/ETH,35.85%,13.96M
2021-04-20 16:44:49.692644, FARM/GRAIN,108.25%,169.73K
2021-04-20 16:44:49.730226, DAI-BAC,16.95%  ,1.29M
2021-04-20 16:44:49.751886, DAI-BASv2,56.13%  ,191.61K
2021-04-20 16:44:49.773744, DAI-BSG,179.84%  ,13.37K
2021-04-20 16:44:49.796915, DAI-BSGS,101.81%  ,12.79K
2021-04-20 16:44:49.834624, MAAPL-UST,103.93%  ,262.92K
2021-04-20 16:44:49.854187, MAMZN-UST,90.92%  ,358.44K
2021-04-20 16:44:49.874305, MGOOGL-UST,91.45%  ,373.58K
2021-04-20 16:44:49.893885, MTSLA-UST,80.21%  ,486.19K
2021-04-20 16:44:49.913658, MNFLX-UST,123.53%  ,406.16K
2021-04-20 16:44:49.933449, MTWTR-UST,119.47%  ,416.46K
