,vault_name,vault_type,vault_apy,vault_total_assets
2021-04-19 04:38:37.925270,yveCRV - ETH,v1,0%,"$12,366,520"
2021-04-19 04:38:37.932958,yveCRV,v1,19.16%,$0
2021-04-19 04:38:37.937337,USDC,v2,16.48%,"$125,785,880"
2021-04-19 04:38:37.942564,crvIB,v2,30.02%,"$135,500,556"
2021-04-19 04:38:37.947768,HEGIC,v2,0.77%,"$708,539"
2021-04-19 04:38:37.954720,crvHBTC,v2,13.26%,"$9,609,066"
2021-04-19 04:38:37.964334,crvRENBTC,v2,2.67%,$0
2021-04-19 04:38:37.977729,DAI,v2,11.63%,"$403,964,025"
2021-04-19 04:38:37.988436,1INCH,v2,5.20%,"$706,415"
2021-04-19 04:38:37.999441,WETH,v2,5.66%,"$148,131,759"
2021-04-19 04:38:38.008188,WBTC,v2,5.44%,"$1,201,686"
2021-04-19 04:38:38.017508,crvSETH,v2,16.63%,"$129,628,148"
2021-04-19 04:38:38.028824,crvSTETH,v2,14.10%,"$188,472,663"
2021-04-19 04:38:38.041976,YFI,v2,5.62%,"$253,265,983"
2021-04-19 04:38:38.053756,crvSBTC,v2,3.76%,"$2,484,544"
2021-04-19 04:38:38.065237,ETH,v2,5.66%,"$148,131,759"
2021-04-19 04:38:38.078506,crvMUSD,v1,36.25%,"$2,217,824"
2021-04-19 04:38:38.089593,yCRV,v1,18.34%,"$47,767,800"
2021-04-19 04:38:38.102024,crvGUSD,v1,25.82%,"$39,066,451"
2021-04-19 04:38:38.115550,crvAAVE,v1,32.41%,"$21,252,239"
2021-04-19 04:38:38.128583,USDC,v1,13.84%,"$11,163,967"
2021-04-19 04:38:38.141383,crvSAAVE,v1,33.31%,"$5,429,023"
2021-04-19 04:38:38.155161,crvDUSD,v1,39.37%,"$3,363,534"
2021-04-19 04:38:38.167863,WETH,v1,0%,"$14,678,678"
2021-04-19 04:38:38.181204,crvUSDN,v1,37.45%,"$49,324,624"
2021-04-19 04:38:38.197782,crvCOMP,v1,21.82%,"$36,704,890"
